iter	Passed	Remaining
0	6	6434
1	11	5550
2	15	5137
3	19	4871
4	24	4815
5	28	4733
6	32	4638
7	36	4529
8	40	4468
9	44	4382
10	48	4330
11	52	4298
12	55	4236
13	59	4199
14	63	4177
15	67	4131
16	71	4114
17	74	4073
18	78	4040
19	82	4022
20	85	3998
21	89	3978
22	93	3957
23	96	3933
24	100	3922
25	104	3901
26	108	3899
27	112	3893
28	115	3879
29	119	3866
30	123	3863
31	127	3851
32	131	3844
33	134	3829
34	138	3823
35	143	3836
36	146	3825
37	150	3821
38	154	3813
39	158	3811
40	162	3801
41	166	3794
42	170	3798
43	174	3795
44	178	3791
45	182	3783
46	186	3778
47	190	3771
48	193	3764
49	197	3755
50	201	3752
51	205	3748
52	209	3739
53	212	3731
54	216	3726
55	220	3719
56	224	3712
57	228	3704
58	232	3702
59	236	3698
60	239	3691
61	243	3687
62	247	3679
63	250	3669
64	254	3664
65	258	3657
66	262	3649
67	265	3642
68	269	3634
69	273	3628
70	277	3625
71	281	3622
72	285	3619
73	288	3613
74	292	3606
75	296	3601
76	299	3595
77	303	3590
78	307	3586
79	311	3582
80	315	3576
81	318	3569
82	322	3564
83	326	3560
84	330	3555
85	333	3549
86	337	3546
87	341	3543
88	345	3538
89	349	3531
90	353	3526
91	356	3521
92	360	3517
93	364	3512
94	368	3508
95	372	3503
96	375	3496
97	379	3493
98	383	3490
99	387	3485
100	391	3480
101	394	3476
102	399	3480
103	404	3481
104	408	3479
105	412	3475
106	417	3480
107	421	3479
108	425	3477
109	429	3476
110	433	3471
111	437	3467
112	441	3462
113	444	3457
114	448	3454
115	452	3447
116	456	3442
117	460	3439
118	463	3434
119	467	3430
120	471	3426
121	475	3424
122	479	3419
123	483	3413
124	487	3410
125	491	3407
126	495	3404
127	498	3399
128	502	3393
129	506	3390
130	510	3385
131	514	3380
132	517	3376
133	521	3370
134	525	3366
135	529	3361
136	532	3356
137	537	3355
138	541	3353
139	545	3349
140	549	3344
141	552	3340
142	556	3335
143	560	3330
144	564	3328
145	568	3322
